genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
NPDC046798	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046798
NPDC046804	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces aureus_B	Streptomyces aureus_B NPDC046804
NPDC046805	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046805
NPDC046809	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046809
NPDC046812	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046812
NPDC046821	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046821
NPDC046827	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces tendae	Streptomyces tendae NPDC046827
NPDC046830	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces monashensis	Streptomyces monashensis NPDC046830
NPDC046831	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046831
NPDC046832	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces indiaensis	Streptomyces sp. NPDC046832
NPDC046833	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces alni	Actinacidiphila alni NPDC046833
NPDC046834	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046834
NPDC046835	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces californicus	Streptomyces californicus NPDC046835
NPDC046838	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces atriruber	Streptomyces atriruber NPDC046838
NPDC046847	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046847
NPDC046853	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046853
NPDC046858	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chartreusis	Streptomyces chartreusis NPDC046858
NPDC046860	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046860
NPDC046861	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046861
NPDC046862	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046862
